"The Beautiful Name / الاسم الحسن","Number / الرقم","Brief Meaning / المعنى المختصر","Ta'wil / التأويل","Quranic Reference / المرجع القرآني","Verse → Ayah / الآية","Dhikr Formula / صيغة الذكر","Pronunciation","Phonetics"
"Ar-Rahman (الرحمن)","1","The Most Compassionate; The Beneficent; The One who has plenty of mercy for the believers and the blasphemers in this world","📿 SHARĪ'A - Allah's mercy encompasses all creation without distinction. His compassion precedes His wrath and extends to every living being.

🚶 ṬARĪQA - Cultivate universal compassion. Show mercy to all creatures. Recite ""Yā Raḥmān"" to open your heart to divine compassion flowing through you.

💎 ḤAQĪQA - His mercy is the very fabric of existence. Every breath, every heartbeat is His compassion manifesting. Mercy is not just an attribute but His essence.

🌟 MA'RIFA - The mystic becomes a channel of Ar-Rahman, seeing with merciful eyes, touching with merciful hands. In this station, one cannot help but be compassionate.","In the name of Allah, the Most Compassionate, the Most Merciful (1:1); The Most Compassionate taught the Quran (55:1-2)","Al-Fatihah 1:1; Ar-Rahman 55:1-2","Basic: يا رحمن (Yā Raḥmān)

Extended: يا رحمن ارحمني برحمتك (Yā Raḥmān irḥamnī bi-raḥmatik)

Number: Often recited 100 times after Fajr","ar-raH-maan","The 'ar' as in 'are', 'Rah' with emphatic H, 'maan' rhymes with 'gone'"
"Ar-Rahim (الرحيم)","2","The Most Merciful; The One who has plenty of mercy for the believers","📿 SHARĪ'A - Special mercy reserved for the believers. While Ar-Rahman's mercy is general, Ar-Rahim's mercy is specific to those who turn to Him.

🚶 ṬARĪQA - Earn this special mercy through faith and good deeds. Recite ""Yā Raḥīm"" when seeking forgiveness and divine grace.

💎 ḤAQĪQA - His mercy responds to your turning. The more you approach Him, the more His specific mercy envelops you. It's an intimate, personal mercy.

🌟 MA'RIFA - The lover drowns in the ocean of Ar-Rahim's mercy, finding that every sin was a hidden invitation to experience His forgiveness.","In the name of Allah, the Most Compassionate, the Most Merciful (1:1); He is the Most Merciful of the merciful (12:92)","Al-Fatihah 1:1; Yusuf 12:92","Basic: يا رحيم (Yā Raḥīm)

Extended: يا أرحم الراحمين (Yā Arḥam ar-Rāḥimīn)

Traditional: 100 times for forgiveness","ar-ra-HEEM","'ar' as in 'car', 'ra' as in 'run', 'HEEM' rhymes with 'team'"
"Al-Malik (الملك)","3","The King; The Sovereign; The One with complete dominion","📿 SHARĪ'A - Allah is the absolute King of all creation. All kingdoms and power belong to Him. Earthly rulers are temporary; His kingdom is eternal.

🚶 ṬARĪQA - Surrender your illusion of control. Practice being a servant of the True King. Recite ""Yā Malik"" to remember who truly rules your affairs.

💎 ḤAQĪQA - His kingdom is not just external but internal. He rules every atom, every thought, every heartbeat. You are living in His kingdom right now.

🌟 MA'RIFA - The mystic realizes they are not just in the kingdom but are themselves a throne for the King. ""The heart of My believer is My throne.","Sovereign of the Day of Judgment (1:4); So exalted is Allah, the True King (20:114)","Al-Fatihah 1:4; Ta-Ha 20:114","Basic: يا ملك (Yā Malik)

Extended: يا مالك الملك (Yā Mālik al-Mulk)

Coronation: 121 times daily","al-MA-lik","'al' as in 'pal', 'MA' as in 'map', 'lik' as in 'lick'"
"Al-Quddus (القدوس)","4","The Most Holy; The Pure One; The One free from all imperfections","📿 SHARĪ'A - Allah is absolutely pure, free from any defect, partner, or imperfection. He transcends all limitations and flaws.

🚶 ṬARĪQA - Purify yourself internally and externally. Seek holiness through cleanliness of body, mind, and soul. Recite ""Yā Quddūs"" during purification.

💎 ḤAQĪQA - His purity is the source of all purity. Any beauty or perfection you see is a reflection of Al-Quddus. Impurity is only the absence of His light.

🌟 MA'RIFA - The saint becomes so purified that they reflect divine holiness. People feel cleansed just by their presence, like a living ablution.","He is Allah, other than whom there is no deity, the King, the Holy (59:23); The angels and the Spirit glorify the Holy Lord (78:38)","Al-Hashr 59:23; An-Naba 78:38","Basic: يا قدوس (Yā Quddūs)

Purification: يا قدوس طهرني (Yā Quddūs ṭahhirnī)

Number: 100 times after ablution","al-qud-DOOS","'qud' with deep 'q', 'DOOS' rhymes with 'goose'"
"As-Salam (السلام)","5","The Source of Peace; The One free from all defects; The Giver of security","📿 SHARĪ'A - Allah is perfect peace, free from all trouble and conflict. He grants peace and security to His creation.

🚶 ṬARĪQA - Become a peacemaker. Spread peace with your greeting, actions, and presence. Recite ""Yā Salām"" to find inner peace in turmoil.

💎 ḤAQĪQA - True peace is not the absence of conflict but the presence of Allah. In remembering As-Salam, the heart finds unshakeable tranquility.

🌟 MA'RIFA - The realized soul becomes an abode of peace. Chaos may surround them, but within is the eternal calm of As-Salam.","He is Allah, other than whom there is no deity, the King, the Holy, the Peace (59:23); Allah invites to the Home of Peace (10:25)","Al-Hashr 59:23; Yunus 10:25","Basic: يا سلام (Yā Salām) For peace: يا سلام سلم (Yā Salām sallim) Practice: 160 times for inner peace","as-sa-LAAM","'as' as in 'us', 'sa' as in 'sun', 'LAAM' with long 'a'"
"Al-Mu'min (المؤمن)","6","The Guardian of Faith; The Giver of security; The One who removes fear","📿 SHARĪ'A - Allah is the source of faith and security. He protects believers and grants them safety from fear and anxiety.

🚶 ṬARĪQA - Trust in divine protection. Strengthen your faith to receive His security. Recite ""Yā Mu'min"" when feeling afraid or insecure.

💎 ḤAQĪQA - Security doesn't come from external conditions but from faith in Al-Mu'min. With Him as guardian, what can truly harm you?

🌟 MA'RIFA - The mystic finds ultimate security in surrender. Paradoxically, by giving up all defenses, one finds the ultimate protection of Al-Mu'min.","He is Allah... the Peace, the Bestower of Security, the Guardian (59:23); He is the One who sent down tranquility into the hearts of believers (48:4)","Al-Hashr 59:23; Al-Fath 48:4","Basic: يا مؤمن (Yā Mu'min) For protection: يا مؤمن أمنّي (Yā Mu'min amminnī) Recitation: 136 times for security","al-MU'-min","'MU' as in 'moon', apostrophe is a pause, 'min' as in 'mean'"
"Al-Muhaymin (المهيمن)","7","The Protector; The Guardian; The One who watches over all","📿 SHARĪ'A - Allah oversees and protects all creation. Nothing escapes His guardianship. He preserves the heavens and earth without fatigue.

🚶 ṬARĪQA - Live under divine protection. Feel His guardianship in every moment. Recite ""Yā Muhaymin"" to invoke His protective presence.

💎 ḤAQĪQA - His protection is not passive but active. He is intimately involved in preserving you each moment from countless unseen harms.

🌟 MA'RIFA - The saint realizes they are not just protected but are an instrument of His protection for others, a living sanctuary.","The Guardian, the Powerful, the Exalted in Might (59:23); And you were not covering yourselves, lest your hearing testify against you (41:22)","Al-Hashr 59:23; Fussilat 41:22","Basic: يا مهيمن (Yā Muhaymin) Full form: يا مهيمن احفظني (Yā Muhaymin iḥfaẓnī) Number: 145 times daily","al-mu-HAY-min","'mu' as in 'moon', 'HAY' as in 'high', 'min' as in 'mean'"
"Al-Aziz (العزيز)","8","The Mighty; The Strong; The Defeater who is never defeated","📿 SHARĪ'A - Allah possesses perfect might and honor. None can resist His will or overpower Him. All strength derives from Him.

🚶 ṬARĪQA - Seek honor through Him alone. True strength comes from submission to Al-Aziz. Recite ""Yā 'Azīz"" to find dignity in servitude.

💎 ḤAQĪQA - Real might is not in domination but in surrender to the Truly Mighty. The servant of Al-Aziz becomes undefeatable through submission.

🌟 MA'RIFA - The mystic discovers invincibility in complete vulnerability before Al-Aziz. By having nothing to defend, nothing can defeat them.","And He is the Mighty, the Wise (59:1); Indeed, honor belongs to Allah entirely (4:139)","Al-Hashr 59:1; An-Nisa 4:139","Basic: يا عزيز (Yā 'Azīz) For strength: يا عزيز أعزني بك (Yā 'Azīz a'izzanī bik) Recitation: 94 times","al-'a-ZEEZ","Apostrophe is guttural 'a', 'ZEEZ' rhymes with 'please'"
"Al-Jabbar (الجبار)","9","The Compeller; The One who mends the broken; The Restorer","📿 SHARĪ'A - Allah compels all creation to His will. He also mends what is broken and restores what is damaged. None can resist Him.

🚶 ṬARĪQA - Submit to divine compulsion willingly. Let Him mend your broken heart. Recite ""Yā Jabbār"" when feeling broken or defeated.

💎 ḤAQĪQA - His compelling is mercy in disguise. What seems like force is actually His way of mending what we cannot fix ourselves.

🌟 MA'RIFA - The lover finds freedom in divine compulsion. By aligning their will with Al-Jabbar, they experience true liberation.","The Powerful, the Exalted in Might, the Compeller (59:23); And the earth will shine with the light of its Lord (39:69)","Al-Hashr 59:23; Az-Zumar 39:69","Basic: يا جبار (Yā Jabbār) For healing: يا جبار اجبر كسري (Yā Jabbār ujbur kasrī) Practice: 206 times for mending","al-jab-BAAR","'jab' as in 'job', 'BAAR' with long 'a'"
"Al-Mutakabbir (المتكبر)","10","The Majestic; The Supreme; The One who is above all defects","📿 SHARĪ'A - Allah alone deserves absolute pride and majesty. His greatness is beyond comprehension. All creation is humble before Him.

🚶 ṬARĪQA - Eliminate pride from your heart. True greatness is in recognizing His supremacy. Recite ""Yā Mutakabbir"" to cure arrogance.

💎 ḤAQĪQA - His transcendence is not distance but ultimate intimacy. The Most High is also the Most Near. Majesty and beauty unite in Him.

🌟 MA'RIFA - The saint becomes so empty of self that Al-Mutakabbir's majesty shines through them. They become a clear mirror of divine greatness.","The Compeller, the Supreme (59:23); And do not walk upon the earth exultantly (17:37)","Al-Hashr 59:23; Al-Isra 17:37","Basic: يا متكبر (Yā Mutakabbir) For humility: 662 times Against pride: Morning recitation","al-mu-ta-KAB-bir","'mu' as 'moon', 'ta' as 'tar', 'KAB' as 'cab', 'bir' as 'beer'"
